COLLAGE,BRANCH,CATEGORIES,RANKING,,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2024 - MOCK ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,2AG,475,,1,E001,University of Visvesvaraya College of Engineering,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GM,355,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCG,670,,AI Artificial Intelligence,,--,--,--,475,--,571,--,--,--,--,--,--,--,--,--,355,--,--,670,--,--,--,--,--,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,GMR,0,,CE Civil,,--,--,--,487,--,--,--,--,--,--,--,--,1105,--,--,370,--,529,1617,--,1708,3236,--,--,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,SCR,0,,CS Computers,,--,--,--,95,--,--,--,--,--,130,--,--,--,--,360,71,165G55,--,369,--,--,568,--,--,
University of Visvesvaraya College of Engineering,AI Artificial Intelligence,STG,0,,EC Electronics,,448,--,--,358,--,--,--,--,--,390,--,--,573,--,--,261,--,464,822,--,1758,--,--,--,
University of Visvesvaraya College of Engineering,CE Civil,2AG,487,,EE Electrical,,504,--,--,338,--,--,479,--,--,--,--,--,--,--,--,321,--,--,517,1580,--,691,--,2101,
University of Visvesvaraya College of Engineering,CE Civil,GM,370,CE Civil,IE Info.Science,,--,--,--,209,--,--,250,--,--,--,--,--,--,--,--,205,--,564,671,--,--,--,--,--,
University of Visvesvaraya College of Engineering,CE Civil,SCG,1617,CS Computers,ME Mechanical,,--,--,--,1078,1792,1836,--,--,--,--,--,--,1205,--,--,685,--,773,1699,--,--,2696,--,--,
University of Visvesvaraya College of Engineering,CE Civil,GMR,529,EC Electronics,2,E002,S K S J T Institute of Engineering.,,Bangalore,,,,,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,CE Civil,SCR,1708,EE Electrical,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
University of Visvesvaraya College of Engineering,CE Civil,STG,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Visvesvaraya College of Engineering,CS Computers,2AG,95,ME Mechanical,CE Civil,,--,--,--,--,--,4259,--,--,--,--,--,--,3260,--,--,815,--,--,--,--,--,3870,--,--,
University of Visvesvaraya College of Engineering,CS Computers,GM,71,,CS Computers,,--,--,--,798,--,--,--,--,--,--,--,--,--,--,--,502,1049,--,1177,--,--,--,--,--,
University of Visvesvaraya College of Engineering,CS Computers,SCG,369,487,EC Electronics,,--,--,--,1003,--,--,--,--,--,--,--,--,--,--,--,873,--,1231,1436,--,--,--,--,--,
University of Visvesvaraya College of Engineering,CS Computers,GMR,0,95,ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8949,--,--,--,--,--,--,--,--,
University of Visvesvaraya College of Engineering,CS Computers,SCR,0,358,TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4952,--,12016 6741G5,--,--,--,--,--,,
University of Visvesvaraya College of Engineering,CS Computers,STG,568,338,3,E003,B M S College of Engineering,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,,,
R. V. College of Engineering,AI Artificial Intelligence,2AG,147,1078,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
R. V. College of Engineering,AI Artificial Intelligence,GM,110,487,CE Civil,,--,--,--,--,2756,--,--,--,--,344,--,--,642,--,--,288,--,--,--,--,--,--,--,--,
R. V. College of Engineering,AI Artificial Intelligence,SCG,641,,EC Electronics,,330,--,--,--,--,--,113,--,--,--,--,--,--,--,--,51,--,289,--,--,--,--,--,--,
R. V. College of Engineering,AI Artificial Intelligence,GMR,0,,EE Electrical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85G55,--,222,682G55,--,--,1427,--,--,
R. V. College of Engineering,AI Artificial Intelligence,SCR,0,,IM Ind. Engg. Mgmt.,,--,--,--,4882,--,--,--,--,--,--,--,--,--,--,--,2714,--,--,2917,--,13098,--,--,--,
R. V. College of Engineering,AI Artificial Intelligence,STG,1084,,ME Mechanical,,--,--,--,556,--,1291,--,--,--,--,--,--,--,--,--,363,--,--,1384,--,--,--,--,--,
R. V. College of Engineering,CE Civil,2AG,0,,4,E004,Dr. Ambedkar Institute Of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,,
R. V. College of Engineering,CE Civil,GM,234,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
R. V. College of Engineering,CE Civil,SCG,0,,CE Civil,,--,--,--,1159,--,--,--,--,--,--,--,--,--,--,--,800,--,1950,2022,--,--,2375,--,--,
R. V. College of Engineering,CE Civil,GMR,0,,CS Computers,,--,--,--,311,--,--,--,--,--,--,--,--,--,--,--,160,--,754,1385,--,--,--,--,--,
R. V. College of Engineering,CE Civil,SCR,0,,EC Electronics,,998,--,--,620,--,--,--,--,--,--,--,--,731,--,--,522,679,--,1356,--,1777,793,--,--,
R. V. College of Engineering,CE Civil,STG,3856,,EE Electrical,,--,--,--,728,--,--,--,--,--,--,--,--,--,--,--,540,--,1184,840,--,--,--,--,--,
R. V. College of Engineering,CS Computers,2AG,28,,EI Elec. Inst. Engg,,--,--,--,3951,--,--,--,--,--,--,--,--,--,--,--,2767G5,--,--,10363,--,--,--,--,--,
R. V. College of Engineering,CS Computers,GM,15,,ET Elec. Telecommn. Engg.,,--,--,--,--,--,3894,--,--,--,--,--,--,--,--,--,2984,--,--,10890,--,--,--,--,--,
R. V. College of Engineering,CS Computers,SCG,61,,IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,4807,--,--,--,--,--,3052,--,--,--,--,4944,--,--,--,
R. V. College of Engineering,CS Computers,GMR,132,,ME Mechanical,,--,--,--,1478,--,--,--,--,--,--,--,--,1940,--,2709 922G55,--,--,2727,5357,--,3761,--,--,,
R. V. College of Engineering,CS Computers,SCR,826,,5,E005,R. V. College of Engineering,Bangalore,,,,,,,,,,,,,,,,,,,,,,,
R. V. College of Engineering,CS Computers,STG,235,,,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,2AG,695,,AI Artificial Intelligence,,1224,--,--,147,--,--,--,--,--,--,--,--,124,--,--,110,--,--,641,--,--,1084,2944,3356,
Dayananda Sagar College of Engineering,AI Artificial Intelligence,GM,684,,BT Bio Technology,,--,--,--,15094,--,--,--,--,--,--,--,--,--,--,--,10129,--,--,--,--,--,--,--,--,
